Year,Lamberts Bay,Malgas Island,Marcus Island,Jutten Island,Vondeling Island,Dassen Island,Robben Island,Simonstown,Seal Island False Bay,Stony Point,Dyer Island,Geyser Island,De Hoop,Jahleel Island,Brenton Island,St Croix Island,Seal Island Algoa Bay,Stag Island,Bird Island,Mercury,Ichaboe,Halifax,Possession,Pomona,Plumpudding,Sinclair
1979,50,1022,1243,2878,495,12646,0.1,0.1,82,0.1,22655,318,0.1,NA,NA,13821,26,NA,314,NA,4200,NA,NA,20,100,124
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14850,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,578,NA,NA,NA,23,572,NA,NA,1007,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,9,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,24,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,103,2,NA,11,NA,NA,NA,NA,NA,19448,NA,NA,NA,2092,2070,334,735,13,92,51
1986,NA,NA,NA,NA,NA,NA,227,NA,NA,27,18481,NA,NA,NA,38,NA,NA,NA,NA,1126,739,389,327,15,NA,NA
1987,21,142,214,NA,196,4588,476,7,83,41,NA,291,NA,NA,NA,NA,NA,NA,NA,2181,1372,678,454,13,228,29
1988,23,NA,NA,NA,NA,NA,849,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,946,NA,90,44
1989,NA,101,NA,NA,109,8428,829,38,NA,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,3394,2427,NA,NA,NA,NA,NA
1990,30,118,NA,NA,NA,NA,1278,54,NA,89,8349,NA,NA,NA,NA,NA,510,50,3703,3552,1937,1050,702,2,1,27
1991,25,80,207,806,229,9012,1879,131,82,77,6115,328,NA,NA,NA,NA,NA,15,3194,NA,NA,NA,NA,8,2,38
1992,18,99,NA,991,133,7563,2027,158,95,57,7579,NA,NA,NA,NA,NA,372,24,3784,3576,2418,690,669,NA,NA,NA
1993,22,70,NA,526,141,7199,2176,241,NA,40,2374,172,NA,549,31,19478,375,21,2293,3666,2655,709,751,NA,27,63
1994,16,80,204,1349,169,9389,2799,359,NA,44,4649,NA,NA,NA,NA,NA,NA,NA,NA,2122,2736,681,506,NA,NA,NA
1995,26,74,160,891,205,9792,2279,366,65,NA,4260,50,NA,NA,NA,NA,NA,NA,3651,2261,3343,473,608,1,38,123
1996,20,71,99,779,258,9502,3097,416,90,NA,3279,47,NA,NA,NA,NA,NA,NA,NA,2387,2640,384,498,NA,NA,NA
1997,23,43,73,947,361,8651,3336,726,NA,NA,2745,5,NA,454,35,NA,NA,NA,1621,2662,1903,431,512,NA,NA,NA
1998,27,61,122,962,157,10918,3467,555,79,72,1963,NA,NA,NA,NA,NA,NA,NA,NA,2884,1562,444,465,NA,NA,NA
1999,11,67,116,759,333,15155,4399,906,NA,NA,2363,1,NA,243,20,14005,316,23,3883,3041,1731,497,477,NA,54,55
2000,10,48,96,898,528,17042,5407,949,NA,104,2220,NA,NA,538,32,15211,433,24,4093,2822,1345,370,359,NA,67,75
2001,9,55,114,1338,649,21410,6427,1054,NA,111,2088,NA,NA,NA,NA,16950,345,24,5376,2615,2260,520,362,1,54,86
2002,9,58,57,1042,544,22681,7099,1083,NA,NA,2145,NA,NA,NA,NA,NA,NA,NA,4459,3462,2182,508,406,2,NA,NA
2003,18,43,65,719,622,20196,5968,1033,NA,123,1929,NA,1,141,NA,9116,NA,NA,936,2783,2158,534,372,NA,NA,NA
2004,22,28,78,848,612,24901,7798,1196,84,98,2216,2,7,479,32,10088,295,20,2951,2037,864,669,445,NA,36,77
2005,10,26,53,801,564,22687,7152,1227,76,186,2053,1,15,316,36,4153,319,23,3203,2455,1077,612,470,NA,57,88
2006,NA,11,33,435,396,13283,5868,1075,48,265,2057,NA,18,301,17,8077,237,13,2822,1813,715,NA,356,NA,NA,NA
2007,NA,8,59,329,345,11785,5935,824,83,260,1513,6,1,141,3,4363,87,6,1403,2026,418,567,459,NA,86,68
2008,NA,12,64,669,507,5719,4215,913,60,310,1605,6,NA,65,3,7739,95,8,2765,3188,604,635,474,NA,NA,NA
2009,NA,20,41,408,361,5145,2415,704,NA,487,1260,4,NA,181,8,6824,137,4,2624,2565,615,843,616,NA,NA,NA
2010,NA,17,21,295,164,4929,2628,933,NA,466,1455,3,NA,119,11,NA,NA,12,NA,3171,661,852,594,NA,NA,NA
2011,NA,42,28,386,158,3896,1817,663,NA,1148,975,2,NA,50,5,8500,NA,NA,2600,3101,576,771,623,NA,NA,NA
2012,NA,40,11,292,175,2678,1669,831,31,1842,1300,2,NA,51,16,6625,78,11,3031,3319,551,747,618,NA,NA,NA
2013,NA,21,23,253,150,2633,1364,553,52,2033,1250,NA,NA,164,17,7657,174,5,2486,3056,605,849,726,NA,NA,NA
2014,NA,30,9,159,116,2022,1016,962,58,2045,1148,NA,NA,178,20,8685,124,3,2837,2448,676,883,858,NA,216,73
2015,NA,21,10,151,123,2140,1216,982,43,2533,1159,NA,NA,240,17,7616,187,3,2843,2646,488,1092,1205,NA,NA,NA
2016,NA,17,20,137,82,1862,1355,870,41,2388,1376,NA,NA,257,7,6107,122,1,2635,2718,444,1075,NA,NA,NA,NA
2017,NA,16,NA,130,101,1922,1440,854,NA,1774,951,NA,NA,232,3,6145,239,2,2229,2645,346,1466,944,2,164,106
2018,NA,5,4,67,111,NA,1389,1099,NA,1572,1074,NA,NA,NA,NA,5428,174,NA,2605,NA,317,1170,657,NA,NA,NA
2019,NA,6,NA,138,NA,1912,1190,932,44,1705,1071,NA,NA,55,10,3638,95,NA,2378,2305,229,825,693,1,130,64
2020,NA,3,NA,NA,NA,NA,NA,1137,NA,1772,1008,NA,NA,NA,4,1500,NA,NA,NA,1826,189,717,782,NA,NA,NA
2021,NA,3,NA,49,106,1806,1007,975,NA,1623,1069,NA,NA,NA,NA,1543,83,NA,1853,315,92,665,496,NA,NA,NA
2022,NA,2,NA,73,115,2513,991,891,NA,1565,1026,NA,2,48,NA,1262,74,NA,1437,NA,89,583,493,NA,208,28
2023,0.1,6,0.1,56,63,2037,931,845,NA,1200,903,0.1,4,24,0.1,712,33,0.1,1722,0.1,13,603,366,0.1,189,21